Drop Number,Landed Coin,Drop Orientation,Distance to origin
1,T,Heads Facing Up,17
2,T,Heads Facing Up,25
3,T,Heads Facing Up,13
4,T,Heads Facing Up,37
5,H,Heads Facing Up,42
6,T,Heads Facing Up,11
7,H,Heads Facing Up,17
8,T,Heads Facing Up,6
9,H,Heads Facing Up,8
10,T,Heads Facing Up,4
11,H,Heads Facing Up,12
12,T,Heads Facing Up,9
13,H,Heads Facing Up,7
14,T,Heads Facing Up,14
15,H,Heads Facing Up,63
16,H,Heads Facing Up,11
17,H,Heads Facing Up,23
18,H,Heads Facing Up,7
19,H,Heads Facing Up,1
20,H,Heads Facing Up,31
21,H,Heads Facing Up,36
22,H,Heads Facing Up,20
23,T,Heads Facing Up,9
24,H,Heads Facing Up,7
25,H,Heads Facing Up,2
26,T,Heads Facing Up,43
27,H,Heads Facing Up,3
28,H,Heads Facing Up,43
29,H,Heads Facing Up,8
30,T,Heads Facing Up,35
31,T,Heads Facing Up,3
32,T,Heads Facing Up,54
33,H,Heads Facing Up,60
34,T,Heads Facing Up,21
35,T,Heads Facing Up,7
36,T,Tails Facing Up,26
37,T,Tails Facing Up,123
38,T,Tails Facing Up,7
39,T,Tails Facing Up,13
40,H,Tails Facing Up,7
41,T,Tails Facing Up,17
42,T,Tails Facing Up,24
43,T,Tails Facing Up,7
44,H,Tails Facing Up,11
45,T,Tails Facing Up,12
46,H,Tails Facing Up,65
47,H,Tails Facing Up,7
48,H,Tails Facing Up,19
49,T,Tails Facing Up,12
50,H,Tails Facing Up,9
51,T,Tails Facing Up,4
52,T,Tails Facing Up,5
53,T,Tails Facing Up,11
54,T,Tails Facing Up,50
55,T,Tails Facing Up,4
56,T,Tails Facing Up,10
57,T,Tails Facing Up,23
58,T,Tails Facing Up,4
59,T,Tails Facing Up,3
60,H,Tails Facing Up,1
61,T,Tails Facing Up,11
62,T,Tails Facing Up,45
63,T,Tails Facing Up,8
64,H,Tails Facing Up,11
65,T,Tails Facing Up,5
66,T,Tails Facing Up,9
67,H,Tails Facing Up,3
68,H,Tails Facing Up,33
69,T,Tails Facing Up,8
70,T,Tails Facing Up,10
71,T,Vertical,13
72,H,Vertical,22
73,H,Vertical,40
74,T,Vertical,12
75,T,Vertical,3
76,T,Vertical,54
77,T,Vertical,46
78,T,Vertical,17
79,T,Vertical,31
80,H,Vertical,4
81,T,Vertical,14
82,H,Vertical,27
83,H,Vertical,39
84,T,Vertical,10
85,H,Vertical,59
86,T,Vertical,13
87,H,Vertical,10
88,H,Vertical,58
89,T,Vertical,11
90,H,Vertical,10
91,T,Vertical,27
92,H,Vertical,28
93,H,Vertical,62
94,T,Vertical,63
95,H,Vertical,35
96,T,Vertical,14
97,H,Vertical,271
98,T,Vertical,229
99,T,Vertical,15
100,H,Vertical,28
101,H,Vertical,22
102,H,Vertical,3
103,T,Vertical,6
104,T,Vertical,7
105,H,Vertical,10
